                  Player_Name   total        avg   max   min  gp
49              DeMar DeRozan   560.9  31.161111  57.7  10.4  18
50             Nikola Vučević   558.3  34.893750  53.9  14.3  16
51            Anthony Edwards   557.8  42.907692  66.4   6.2  13
52            Donovan Clingan   555.3  30.850000  57.2   9.8  18
53              Ajay Mitchell   553.7  30.761111  49.0  17.9  18
54              Amen Thompson   553.2  36.880000  54.5  14.3  15
55                 RJ Barrett   551.4  32.435294  46.6  22.4  17
56               Myles Turner   546.8  30.377778  45.6  16.1  18
57               Santi Aldama   544.7  30.261111  44.5  15.5  18
58               Kon Knueppel   531.3  31.252941  48.1   6.1  17
59   Nickeil Alexander-Walker   524.1  30.829412  57.3  13.4  17
60               Kevin Durant   520.4  37.171429  54.1  23.2  14
61           Payton Pritchard   517.1  30.417647  44.7  15.1  17
62                Derik Queen   513.9  28.550000  54.8   6.4  18
63                Rudy Gobert   513.3  30.194118  51.9  12.4  17
64             Kyshawn George   509.5  33.966667  63.2  12.9  15
65              Norman Powell   505.8  36.128571  49.9  24.4  14
66               Jerami Grant   495.8  29.164706  46.8   5.9  17
